"block_id","period","month_index","year","month","car_thefts","bicycle_thefts","protected_facility","adjacent_block","distance_band","commercial_area","post","relative_month"
"B004","1994-07",7,1994,7,1,1,1,0,"facility",1,0,-1
"B004","1994-08",8,1994,8,5,2,1,0,"facility",1,1,0
"B004","1994-09",9,1994,9,1,0,1,0,"facility",1,1,1
"B004","1994-10",10,1994,10,2,2,1,0,"facility",1,1,2
"B004","1994-11",11,1994,11,0,1,1,0,"facility",1,1,3
"B004","1994-12",12,1994,12,1,0,1,0,"facility",1,1,4
"B004","1995-01",13,1995,1,1,2,1,0,"facility",1,1,5
"B004","1995-02",14,1995,2,2,1,1,0,"facility",1,1,6
"B004","1995-03",15,1995,3,1,1,1,0,"facility",1,1,7
"B004","1995-04",16,1995,4,3,2,1,0,"facility",1,1,8
"B004","1995-05",17,1995,5,0,2,1,0,"facility",1,1,9
"B004","1995-06",18,1995,6,0,4,1,0,"facility",1,1,10
"B005","1994-01",1,1994,1,2,6,1,0,"facility",1,0,-7
"B005","1994-02",2,1994,2,4,1,1,0,"facility",1,0,-6
"B005","1994-03",3,1994,3,3,1,1,0,"facility",1,0,-5
"B005","1994-04",4,1994,4,5,0,1,0,"facility",1,0,-4
"B005","1994-05",5,1994,5,4,0,1,0,"facility",1,0,-3
"B005","1994-06",6,1994,6,2,1,1,0,"facility",1,0,-2
"B005","1994-07",7,1994,7,6,2,1,0,"facility",1,0,-1
"B005","1994-08",8,1994,8,2,2,1,0,"facility",1,1,0
"B005","1994-09",9,1994,9,4,3,1,0,"facility",1,1,1
"B005","1994-10",10,1994,10,4,1,1,0,"facility",1,1,2
"B005","1994-11",11,1994,11,6,1,1,0,"facility",1,1,3
"B005","1994-12",12,1994,12,1,0,1,0,"facility",1,1,4
"B005","1995-01",13,1995,1,0,1,1,0,"facility",1,1,5
"B005","1995-02",14,1995,2,2,1,1,0,"facility",1,1,6
"B005","1995-03",15,1995,3,5,0,1,0,"facility",1,1,7
"B005","1995-04",16,1995,4,2,2,1,0,"facility",1,1,8
"B005","1995-05",17,1995,5,2,2,1,0,"facility",1,1,9
"B005","1995-06",18,1995,6,8,1,1,0,"facility",1,1,10
"B006","1994-01",1,1994,1,4,2,1,0,"facility",0,0,-7
"B006","1994-02",2,1994,2,4,2,1,0,"facility",0,0,-6
"B006","1994-03",3,1994,3,2,0,1,0,"facility",0,0,-5
"B006","1994-04",4,1994,4,0,0,1,0,"facility",0,0,-4
"B006","1994-05",5,1994,5,5,3,1,0,"facility",0,0,-3
"B006","1994-06",6,1994,6,2,0,1,0,"facility",0,0,-2
"B006","1994-07",7,1994,7,1,0,1,0,"facility",0,0,-1
"B006","1994-08",8,1994,8,2,1,1,0,"facility",0,1,0
"B006","1994-09",9,1994,9,1,1,1,0,"facility",0,1,1
"B006","1994-10",10,1994,10,0,2,1,0,"facility",0,1,2
"B006","1994-11",11,1994,11,1,4,1,0,"facility",0,1,3
"B006","1994-12",12,1994,12,2,0,1,0,"facility",0,1,4
"B006","1995-01",13,1995,1,2,1,1,0,"facility",0,1,5
"B006","1995-02",14,1995,2,4,3,1,0,"facility",0,1,6
"B006","1995-03",15,1995,3,2,2,1,0,"facility",0,1,7
"B006","1995-04",16,1995,4,2,1,1,0,"facility",0,1,8
"B006","1995-05",17,1995,5,1,2,1,0,"facility",0,1,9
"B006","1995-06",18,1995,6,3,1,1,0,"facility",0,1,10
"B007","1994-01",1,1994,1,5,2,1,0,"facility",1,0,-7
"B007","1994-02",2,1994,2,2,4,1,0,"facility",1,0,-6
"B007","1994-03",3,1994,3,1,2,1,0,"facility",1,0,-5
"B007","1994-04",4,1994,4,3,1,1,0,"facility",1,0,-4
"B007","1994-05",5,1994,5,3,1,1,0,"facility",1,0,-3
"B007","1994-06",6,1994,6,1,1,1,0,"facility",1,0,-2
"B007","1994-07",7,1994,7,6,1,1,0,"facility",1,0,-1
"B007","1994-08",8,1994,8,3,6,1,0,"facility",1,1,0
"B007","1994-09",9,1994,9,0,1,1,0,"facility",1,1,1
"B007","1994-10",10,1994,10,0,1,1,0,"facility",1,1,2
"B007","1994-11",11,1994,11,0,2,1,0,"facility",1,1,3
"B007","1994-12",12,1994,12,0,5,1,0,"facility",1,1,4
"B007","1995-01",13,1995,1,1,3,1,0,"facility",1,1,5
"B007","1995-02",14,1995,2,1,2,1,0,"facility",1,1,6
"B007","1995-03",15,1995,3,3,4,1,0,"facility",1,1,7
"B007","1995-04",16,1995,4,2,1,1,0,"facility",1,1,8
"B007","1995-05",17,1995,5,0,4,1,0,"facility",1,1,9
"B007","1995-06",18,1995,6,2,3,1,0,"facility",1,1,10
"B008","1994-01",1,1994,1,6,0,1,0,"facility",1,0,-7
"B008","1994-02",2,1994,2,2,2,1,0,"facility",1,0,-6
"B008","1994-03",3,1994,3,2,1,1,0,"facility",1,0,-5
"B008","1994-04",4,1994,4,4,2,1,0,"facility",1,0,-4
"B008","1994-05",5,1994,5,2,1,1,0,"facility",1,0,-3
"B008","1994-06",6,1994,6,4,1,1,0,"facility",1,0,-2
"B008","1994-07",7,1994,7,6,0,1,0,"facility",1,0,-1
"B008","1994-08",8,1994,8,1,0,1,0,"facility",1,1,0
"B008","1994-09",9,1994,9,2,2,1,0,"facility",1,1,1
"B008","1994-10",10,1994,10,3,2,1,0,"facility",1,1,2
"B008","1994-11",11,1994,11,2,0,1,0,"facility",1,1,3
"B008","1994-12",12,1994,12,2,1,1,0,"facility",1,1,4
"B008","1995-01",13,1995,1,2,0,1,0,"facility",1,1,5
"B008","1995-02",14,1995,2,2,0,1,0,"facility",1,1,6
"B008","1995-03",15,1995,3,3,3,1,0,"facility",1,1,7
"B008","1995-04",16,1995,4,1,1,1,0,"facility",1,1,8
"B008","1995-05",17,1995,5,1,1,1,0,"facility",1,1,9
"B008","1995-06",18,1995,6,2,2,1,0,"facility",1,1,10
"B009","1994-01",1,1994,1,5,1,1,0,"facility",1,0,-7
"B009","1994-02",2,1994,2,1,4,1,0,"facility",1,0,-6
"B009","1994-03",3,1994,3,4,2,1,0,"facility",1,0,-5
"B009","1994-04",4,1994,4,3,3,1,0,"facility",1,0,-4
"B009","1994-05",5,1994,5,2,3,1,0,"facility",1,0,-3
"B009","1994-06",6,1994,6,3,0,1,0,"facility",1,0,-2
"B009","1994-07",7,1994,7,4,0,1,0,"facility",1,0,-1
"B009","1994-08",8,1994,8,2,4,1,0,"facility",1,1,0
"B009","1994-09",9,1994,9,1,1,1,0,"facility",1,1,1
"B009","1994-10",10,1994,10,2,3,1,0,"facility",1,1,2
"B009","1994-11",11,1994,11,3,1,1,0,"facility",1,1,3
"B009","1994-12",12,1994,12,4,1,1,0,"facility",1,1,4
"B009","1995-01",13,1995,1,3,3,1,0,"facility",1,1,5
"B009","1995-02",14,1995,2,0,0,1,0,"facility",1,1,6
"B009","1995-03",15,1995,3,7,3,1,0,"facility",1,1,7
"B009","1995-04",16,1995,4,2,0,1,0,"facility",1,1,8
"B009","1995-05",17,1995,5,1,1,1,0,"facility",1,1,9
"B009","1995-06",18,1995,6,4,4,1,0,"facility",1,1,10
"B010","1994-01",1,1994,1,2,4,1,0,"facility",1,0,-7
"B010","1994-02",2,1994,2,1,3,1,0,"facility",1,0,-6
"B010","1994-03",3,1994,3,5,3,1,0,"facility",1,0,-5
"B010","1994-04",4,1994,4,4,4,1,0,"facility",1,0,-4
"B010","1994-05",5,1994,5,4,0,1,0,"facility",1,0,-3
"B010","1994-06",6,1994,6,3,1,1,0,"facility",1,0,-2
"B010","1994-07",7,1994,7,0,1,1,0,"facility",1,0,-1
"B010","1994-08",8,1994,8,1,1,1,0,"facility",1,1,0
"B010","1994-09",9,1994,9,4,4,1,0,"facility",1,1,1
"B010","1994-10",10,1994,10,1,0,1,0,"facility",1,1,2
"B010","1994-11",11,1994,11,1,1,1,0,"facility",1,1,3
"B010","1994-12",12,1994,12,1,1,1,0,"facility",1,1,4
"B010","1995-01",13,1995,1,3,2,1,0,"facility",1,1,5
"B010","1995-02",14,1995,2,3,3,1,0,"facility",1,1,6
"B010","1995-03",15,1995,3,2,1,1,0,"facility",1,1,7
"B010","1995-04",16,1995,4,2,1,1,0,"facility",1,1,8
"B010","1995-05",17,1995,5,1,2,1,0,"facility",1,1,9
"B010","1995-06",18,1995,6,3,2,1,0,"facility",1,1,10
"B011","1994-01",1,1994,1,0,3,1,0,"facility",1,0,-7
"B011","1994-02",2,1994,2,5,5,1,0,"facility",1,0,-6
"B011","1994-03",3,1994,3,4,3,1,0,"facility",1,0,-5
"B011","1994-04",4,1994,4,4,0,1,0,"facility",1,0,-4
"B011","1994-05",5,1994,5,1,3,1,0,"facility",1,0,-3
"B011","1994-06",6,1994,6,1,2,1,0,"facility",1,0,-2
"B011","1994-07",7,1994,7,3,2,1,0,"facility",1,0,-1
"B011","1994-08",8,1994,8,3,3,1,0,"facility",1,1,0
"B011","1994-09",9,1994,9,3,2,1,0,"facility",1,1,1
"B011","1994-10",10,1994,10,6,4,1,0,"facility",1,1,2
"B011","1994-11",11,1994,11,3,2,1,0,"facility",1,1,3
"B011","1994-12",12,1994,12,2,4,1,0,"facility",1,1,4
"B011","1995-01",13,1995,1,4,1,1,0,"facility",1,1,5
"B011","1995-02",14,1995,2,4,4,1,0,"facility",1,1,6
"B011","1995-03",15,1995,3,5,0,1,0,"facility",1,1,7
"B011","1995-04",16,1995,4,2,1,1,0,"facility",1,1,8
"B011","1995-05",17,1995,5,3,4,1,0,"facility",1,1,9
"B011","1995-06",18,1995,6,2,1,1,0,"facility",1,1,10
"B012","1994-01",1,1994,1,1,4,1,0,"facility",1,0,-7
"B012","1994-02",2,1994,2,6,5,1,0,"facility",1,0,-6
"B012","1994-03",3,1994,3,2,2,1,0,"facility",1,0,-5
"B012","1994-04",4,1994,4,3,1,1,0,"facility",1,0,-4
"B012","1994-05",5,1994,5,5,2,1,0,"facility",1,0,-3
"B012","1994-06",6,1994,6,3,2,1,0,"facility",1,0,-2
"B012","1994-07",7,1994,7,2,2,1,0,"facility",1,0,-1
"B012","1994-08",8,1994,8,5,1,1,0,"facility",1,1,0
"B012","1994-09",9,1994,9,1,2,1,0,"facility",1,1,1
"B012","1994-10",10,1994,10,6,1,1,0,"facility",1,1,2
"B012","1994-11",11,1994,11,3,0,1,0,"facility",1,1,3
"B012","1994-12",12,1994,12,3,1,1,0,"facility",1,1,4
"B012","1995-01",13,1995,1,2,2,1,0,"facility",1,1,5
"B012","1995-02",14,1995,2,0,2,1,0,"facility",1,1,6
"B012","1995-03",15,1995,3,4,0,1,0,"facility",1,1,7
"B012","1995-04",16,1995,4,0,2,1,0,"facility",1,1,8
"B012","1995-05",17,1995,5,2,1,1,0,"facility",1,1,9
"B012","1995-06",18,1995,6,2,2,1,0,"facility",1,1,10
"B013","1994-01",1,1994,1,3,2,1,0,"facility",0,0,-7
"B013","1994-02",2,1994,2,6,0,1,0,"facility",0,0,-6
"B013","1994-03",3,1994,3,1,4,1,0,"facility",0,0,-5
"B013","1994-04",4,1994,4,3,0,1,0,"facility",0,0,-4
"B013","1994-05",5,1994,5,7,3,1,0,"facility",0,0,-3
"B013","1994-06",6,1994,6,4,0,1,0,"facility",0,0,-2
"B013","1994-07",7,1994,7,4,1,1,0,"facility",0,0,-1
"B013","1994-08",8,1994,8,0,3,1,0,"facility",0,1,0
"B013","1994-09",9,1994,9,5,1,1,0,"facility",0,1,1
"B013","1994-10",10,1994,10,4,1,1,0,"facility",0,1,2
"B013","1994-11",11,1994,11,3,0,1,0,"facility",0,1,3
"B013","1994-12",12,1994,12,3,2,1,0,"facility",0,1,4
"B013","1995-01",13,1995,1,3,1,1,0,"facility",0,1,5
"B013","1995-02",14,1995,2,0,2,1,0,"facility",0,1,6
"B013","1995-03",15,1995,3,3,1,1,0,"facility",0,1,7
"B013","1995-04",16,1995,4,2,0,1,0,"facility",0,1,8
"B013","1995-05",17,1995,5,2,4,1,0,"facility",0,1,9
"B013","1995-06",18,1995,6,3,0,1,0,"facility",0,1,10
"B014","1994-01",1,1994,1,4,0,1,0,"facility",0,0,-7
"B014","1994-02",2,1994,2,3,2,1,0,"facility",0,0,-6
"B014","1994-03",3,1994,3,2,0,1,0,"facility",0,0,-5
"B014","1994-04",4,1994,4,1,1,1,0,"facility",0,0,-4
"B014","1994-05",5,1994,5,2,1,1,0,"facility",0,0,-3
"B014","1994-06",6,1994,6,3,1,1,0,"facility",0,0,-2
"B014","1994-07",7,1994,7,1,1,1,0,"facility",0,0,-1
"B014","1994-08",8,1994,8,2,0,1,0,"facility",0,1,0
"B014","1994-09",9,1994,9,3,0,1,0,"facility",0,1,1
"B014","1994-10",10,1994,10,1,0,1,0,"facility",0,1,2
"B014","1994-11",11,1994,11,3,1,1,0,"facility",0,1,3
"B014","1994-12",12,1994,12,4,0,1,0,"facility",0,1,4
"B014","1995-01",13,1995,1,1,1,1,0,"facility",0,1,5
"B014","1995-02",14,1995,2,1,1,1,0,"facility",0,1,6
"B014","1995-03",15,1995,3,3,2,1,0,"facility",0,1,7
"B014","1995-04",16,1995,4,3,0,1,0,"facility",0,1,8
"B014","1995-05",17,1995,5,2,1,1,0,"facility",0,1,9
"B014","1995-06",18,1995,6,1,1,1,0,"facility",0,1,10
"B015","1994-01",1,1994,1,4,2,1,0,"facility",1,0,-7
"B015","1994-02",2,1994,2,4,0,1,0,"facility",1,0,-6
"B015","1994-03",3,1994,3,3,1,1,0,"facility",1,0,-5
"B015","1994-04",4,1994,4,4,1,1,0,"facility",1,0,-4
"B015","1994-05",5,1994,5,3,0,1,0,"facility",1,0,-3
"B015","1994-06",6,1994,6,2,2,1,0,"facility",1,0,-2
"B015","1994-07",7,1994,7,6,2,1,0,"facility",1,0,-1
"B015","1994-08",8,1994,8,1,3,1,0,"facility",1,1,0
"B015","1994-09",9,1994,9,3,0,1,0,"facility",1,1,1
"B015","1994-10",10,1994,10,2,1,1,0,"facility",1,1,2
"B015","1994-11",11,1994,11,1,2,1,0,"facility",1,1,3
"B015","1994-12",12,1994,12,1,0,1,0,"facility",1,1,4
"B015","1995-01",13,1995,1,1,0,1,0,"facility",1,1,5
"B015","1995-02",14,1995,2,0,2,1,0,"facility",1,1,6
"B015","1995-03",15,1995,3,1,1,1,0,"facility",1,1,7
"B015","1995-04",16,1995,4,0,1,1,0,"facility",1,1,8
"B015","1995-05",17,1995,5,3,2,1,0,"facility",1,1,9
"B015","1995-06",18,1995,6,3,2,1,0,"facility",1,1,10
"B016","1994-01",1,1994,1,2,3,1,0,"facility",0,0,-7
"B016","1994-02",2,1994,2,2,4,1,0,"facility",0,0,-6
"B016","1994-03",3,1994,3,1,1,1,0,"facility",0,0,-5
"B016","1994-04",4,1994,4,1,2,1,0,"facility",0,0,-4
"B016","1994-05",5,1994,5,2,0,1,0,"facility",0,0,-3
"B016","1994-06",6,1994,6,0,0,1,0,"facility",0,0,-2
"B016","1994-07",7,1994,7,0,1,1,0,"facility",0,0,-1
"B016","1994-08",8,1994,8,3,2,1,0,"facility",0,1,0
"B016","1994-09",9,1994,9,2,2,1,0,"facility",0,1,1
"B016","1994-10",10,1994,10,1,2,1,0,"facility",0,1,2
"B016","1994-11",11,1994,11,2,3,1,0,"facility",0,1,3
"B016","1994-12",12,1994,12,2,1,1,0,"facility",0,1,4
"B016","1995-01",13,1995,1,0,0,1,0,"facility",0,1,5
"B016","1995-02",14,1995,2,2,2,1,0,"facility",0,1,6
"B016","1995-03",15,1995,3,2,0,1,0,"facility",0,1,7
"B016","1995-04",16,1995,4,0,1,1,0,"facility",0,1,8
"B016","1995-05",17,1995,5,3,3,1,0,"facility",0,1,9
"B016","1995-06",18,1995,6,3,2,1,0,"facility",0,1,10
"B017","1994-01",1,1994,1,2,1,1,0,"facility",1,0,-7
"B017","1994-02",2,1994,2,2,1,1,0,"facility",1,0,-6
"B017","1994-03",3,1994,3,5,4,1,0,"facility",1,0,-5
"B017","1994-04",4,1994,4,4,2,1,0,"facility",1,0,-4
"B017","1994-05",5,1994,5,6,0,1,0,"facility",1,0,-3
"B017","1994-06",6,1994,6,1,4,1,0,"facility",1,0,-2
"B017","1994-07",7,1994,7,2,2,1,0,"facility",1,0,-1
"B017","1994-08",8,1994,8,2,1,1,0,"facility",1,1,0
"B017","1994-09",9,1994,9,0,2,1,0,"facility",1,1,1
"B017","1994-10",10,1994,10,1,1,1,0,"facility",1,1,2
"B017","1994-11",11,1994,11,2,1,1,0,"facility",1,1,3
"B017","1994-12",12,1994,12,2,1,1,0,"facility",1,1,4
"B017","1995-01",13,1995,1,2,0,1,0,"facility",1,1,5
"B017","1995-02",14,1995,2,0,4,1,0,"facility",1,1,6
"B017","1995-03",15,1995,3,4,1,1,0,"facility",1,1,7
"B017","1995-04",16,1995,4,2,0,1,0,"facility",1,1,8
"B017","1995-05",17,1995,5,4,2,1,0,"facility",1,1,9
"B017","1995-06",18,1995,6,1,3,1,0,"facility",1,1,10
"B018","1994-01",1,1994,1,5,1,1,0,"facility",0,0,-7
"B018","1994-02",2,1994,2,7,1,1,0,"facility",0,0,-6
"B018","1994-03",3,1994,3,5,7,1,0,"facility",0,0,-5
"B018","1994-04",4,1994,4,3,4,1,0,"facility",0,0,-4
"B018","1994-05",5,1994,5,6,2,1,0,"facility",0,0,-3
"B018","1994-06",6,1994,6,4,2,1,0,"facility",0,0,-2
"B018","1994-07",7,1994,7,2,2,1,0,"facility",0,0,-1
"B018","1994-08",8,1994,8,1,2,1,0,"facility",0,1,0
"B018","1994-09",9,1994,9,0,2,1,0,"facility",0,1,1
"B018","1994-10",10,1994,10,3,2,1,0,"facility",0,1,2
"B018","1994-11",11,1994,11,1,1,1,0,"facility",0,1,3
"B018","1994-12",12,1994,12,4,3,1,0,"facility",0,1,4
"B018","1995-01",13,1995,1,2,1,1,0,"facility",0,1,5
"B018","1995-02",14,1995,2,2,1,1,0,"facility",0,1,6
"B018","1995-03",15,1995,3,1,1,1,0,"facility",0,1,7
"B018","1995-04",16,1995,4,7,0,1,0,"facility",0,1,8
"B018","1995-05",17,1995,5,1,3,1,0,"facility",0,1,9
"B018","1995-06",18,1995,6,4,3,1,0,"facility",0,1,10
"B019","1994-01",1,1994,1,3,1,1,0,"facility",0,0,-7
"B019","1994-02",2,1994,2,3,3,1,0,"facility",0,0,-6
"B019","1994-03",3,1994,3,6,1,1,0,"facility",0,0,-5
"B019","1994-04",4,1994,4,5,2,1,0,"facility",0,0,-4
"B019","1994-05",5,1994,5,6,2,1,0,"facility",0,0,-3
"B019","1994-06",6,1994,6,2,2,1,0,"facility",0,0,-2
"B019","1994-07",7,1994,7,2,3,1,0,"facility",0,0,-1
"B019","1994-08",8,1994,8,1,2,1,0,"facility",0,1,0
"B019","1994-09",9,1994,9,3,3,1,0,"facility",0,1,1
"B019","1994-10",10,1994,10,2,2,1,0,"facility",0,1,2
"B019","1994-11",11,1994,11,2,1,1,0,"facility",0,1,3
"B019","1994-12",12,1994,12,1,2,1,0,"facility",0,1,4
"B019","1995-01",13,1995,1,4,1,1,0,"facility",0,1,5
"B019","1995-02",14,1995,2,3,0,1,0,"facility",0,1,6
"B019","1995-03",15,1995,3,4,0,1,0,"facility",0,1,7
"B019","1995-04",16,1995,4,0,1,1,0,"facility",0,1,8
"B019","1995-05",17,1995,5,2,4,1,0,"facility",0,1,9
"B019","1995-06",18,1995,6,5,2,1,0,"facility",0,1,10
"B020","1994-01",1,1994,1,2,0,1,0,"facility",1,0,-7
"B020","1994-02",2,1994,2,3,3,1,0,"facility",1,0,-6
"B020","1994-03",3,1994,3,7,5,1,0,"facility",1,0,-5
"B020","1994-04",4,1994,4,4,2,1,0,"facility",1,0,-4
"B020","1994-05",5,1994,5,1,1,1,0,"facility",1,0,-3
"B020","1994-06",6,1994,6,5,1,1,0,"facility",1,0,-2
"B020","1994-07",7,1994,7,6,0,1,0,"facility",1,0,-1
"B020","1994-08",8,1994,8,2,1,1,0,"facility",1,1,0
"B020","1994-09",9,1994,9,5,0,1,0,"facility",1,1,1
"B020","1994-10",10,1994,10,1,1,1,0,"facility",1,1,2
"B020","1994-11",11,1994,11,2,2,1,0,"facility",1,1,3
"B020","1994-12",12,1994,12,3,1,1,0,"facility",1,1,4
"B020","1995-01",13,1995,1,3,4,1,0,"facility",1,1,5
"B020","1995-02",14,1995,2,2,1,1,0,"facility",1,1,6
"B020","1995-03",15,1995,3,2,0,1,0,"facility",1,1,7
"B020","1995-04",16,1995,4,2,3,1,0,"facility",1,1,8
"B020","1995-05",17,1995,5,2,1,1,0,"facility",1,1,9
"B020","1995-06",18,1995,6,4,2,1,0,"facility",1,1,10
"B021","1994-01",1,1994,1,1,0,1,0,"facility",1,0,-7
"B021","1994-02",2,1994,2,5,1,1,0,"facility",1,0,-6
"B021","1994-03",3,1994,3,4,3,1,0,"facility",1,0,-5
"B021","1994-04",4,1994,4,5,2,1,0,"facility",1,0,-4
"B021","1994-05",5,1994,5,3,4,1,0,"facility",1,0,-3
"B021","1994-06",6,1994,6,4,1,1,0,"facility",1,0,-2
"B021","1994-07",7,1994,7,3,1,1,0,"facility",1,0,-1
"B021","1994-08",8,1994,8,3,1,1,0,"facility",1,1,0
"B021","1994-09",9,1994,9,0,1,1,0,"facility",1,1,1
"B021","1994-10",10,1994,10,5,1,1,0,"facility",1,1,2
"B021","1994-11",11,1994,11,4,1,1,0,"facility",1,1,3
"B021","1994-12",12,1994,12,1,1,1,0,"facility",1,1,4
"B021","1995-01",13,1995,1,4,0,1,0,"facility",1,1,5
"B021","1995-02",14,1995,2,1,3,1,0,"facility",1,1,6
"B021","1995-03",15,1995,3,2,0,1,0,"facility",1,1,7
"B021","1995-04",16,1995,4,1,1,1,0,"facility",1,1,8
"B021","1995-05",17,1995,5,2,0,1,0,"facility",1,1,9
"B021","1995-06",18,1995,6,1,2,1,0,"facility",1,1,10
"B022","1994-01",1,1994,1,5,2,1,0,"facility",0,0,-7
"B022","1994-02",2,1994,2,4,3,1,0,"facility",0,0,-6
"B022","1994-03",3,1994,3,3,4,1,0,"facility",0,0,-5
"B022","1994-04",4,1994,4,2,0,1,0,"facility",0,0,-4
"B022","1994-05",5,1994,5,6,1,1,0,"facility",0,0,-3
"B022","1994-06",6,1994,6,3,2,1,0,"facility",0,0,-2
"B022","1994-07",7,1994,7,3,0,1,0,"facility",0,0,-1
"B022","1994-08",8,1994,8,5,2,1,0,"facility",0,1,0
"B022","1994-09",9,1994,9,4,0,1,0,"facility",0,1,1
"B022","1994-10",10,1994,10,2,1,1,0,"facility",0,1,2
"B022","1994-11",11,1994,11,1,3,1,0,"facility",0,1,3
"B022","1994-12",12,1994,12,3,2,1,0,"facility",0,1,4
"B022","1995-01",13,1995,1,2,0,1,0,"facility",0,1,5
"B022","1995-02",14,1995,2,2,1,1,0,"facility",0,1,6
"B022","1995-03",15,1995,3,1,2,1,0,"facility",0,1,7
"B022","1995-04",16,1995,4,1,4,1,0,"facility",0,1,8
"B022","1995-05",17,1995,5,0,0,1,0,"facility",0,1,9
"B022","1995-06",18,1995,6,3,5,1,0,"facility",0,1,10
"B023","1994-01",1,1994,1,2,4,1,0,"facility",1,0,-7
"B023","1994-02",2,1994,2,3,0,1,0,"facility",1,0,-6
"B023","1994-03",3,1994,3,4,2,1,0,"facility",1,0,-5
"B023","1994-04",4,1994,4,4,1,1,0,"facility",1,0,-4
"B023","1994-05",5,1994,5,2,2,1,0,"facility",1,0,-3
"B023","1994-06",6,1994,6,2,0,1,0,"facility",1,0,-2
"B023","1994-07",7,1994,7,3,1,1,0,"facility",1,0,-1
